userId,movieId,rating,timestamp
4,6,3,1996-08-24 09:33:47
4,10,4,1996-08-24 09:28:42
4,19,3,1996-08-24 09:29:54
4,32,1,1996-08-24 09:31:01
4,165,3,1996-08-24 09:27:32
4,329,3,1996-08-24 09:28:18
4,350,4,1996-08-24 09:31:27
4,356,4,1996-08-24 09:28:42
4,367,3,1996-08-24 09:29:54
4,368,4,1996-08-24 09:33:18
4,370,4,1996-08-24 09:34:03
4,377,4,1996-08-24 09:29:54
4,380,3,1996-08-24 09:27:05
4,420,3,1996-08-24 09:30:19
4,431,4,1996-08-24 09:35:57
4,440,3,1996-08-24 09:31:27
4,454,5,1996-08-24 09:29:04
4,480,4,1996-08-24 09:29:04
4,489,4,1996-08-24 09:39:35
4,519,3,1996-08-24 09:38:43
4,520,4,1996-08-24 09:34:42
4,531,3,1996-08-24 09:37:37
4,548,3,1996-08-24 09:40:54
4,586,4,1996-08-24 09:30:38
4,589,4,1996-08-24 09:29:22
4,594,4,1996-08-24 09:34:25
4,596,4,1996-08-24 09:37:04
4,733,5,1996-08-24 09:35:22
48644,7067,4.5,2004-01-26 03:58:10
48644,1952,4.0,1998-08-09 20:41:38
50778,2094,1.5,2014-04-20 14:47:38
8601,1909,3.5,2013-05-18 14:41:44
37947,3996,5.0,2006-04-01 21:27:18
39926,91890,4.0,2012-05-06 15:36:54
43657,1379,3.0,2000-01-10 20:23:17
7577,2726,4.0,2002-08-30 00:44:13
11254,1507,4.0,1999-04-03 18:58:21
112337,2361,4.0,2008-10-30 18:49:09
22658,1225,4.0,2002-02-16 17:37:53
103090,45950,3.0,2007-09-08 07:15:38
120744,68358,4.0,2011-03-09 15:29:10
138038,4005,5.0,2001-04-20 16:28:07
27436,1037,4.0,2009-07-17 11:31:55
43902,4308,3.5,2005-05-26 20:01:48
73589,6502,4.0,2005-07-02 01:28:24
24233,50794,2.0,2011-05-12 03:46:13
23756,442,3.0,2004-10-31 09:12:21
119048,1188,4.0,2010-08-07 17:50:56
67839,45062,4.0,2006-10-21 14:24:40
34156,6502,3.5,2007-06-11 01:17:27
113092,805,4.0,1997-01-06 01:07:14
47370,5247,2.0,2007-10-29 22:38:56
42414,52328,4.0,2013-07-11 10:25:54
83891,971,0.5,2013-06-05 19:45:00
40478,4963,5.0,2013-08-21 05:26:59
39182,344,3.5,2007-11-24 00:46:56
135929,247,4.0,2001-10-01 19:10:23
137343,2340,2.0,2005-02-23 04:13:14
135086,3424,4.0,2000-11-13 01:46:05
101200,239,4.0,2008-04-07 21:55:22
28965,54771,3.0,2008-11-03 08:02:39
33724,1377,4.0,2012-05-29 05:26:23
86729,7123,3.0,2010-10-17 00:36:05
115351,852,4.0,2003-02-17 20:40:33
6276,95,3.0,1996-05-15 05:12:49
8878,69122,4.0,2010-01-03 11:49:08
24706,3257,2.0,2000-01-20 03:06:18
7159,6534,4.5,2007-10-07 15:38:51
132808,1373,4.0,2000-08-12 19:02:32
104418,1598,4.0,2002-07-14 23:26:10
99583,345,3.5,2012-10-23 03:18:33
32731,1831,1.0,2008-02-01 03:28:54
89394,1769,2.5,2005-06-16 18:27:55
115253,2028,4.5,2006-02-19 16:19:54
71253,454,5.0,1996-09-03 21:13:27
74766,33004,4.5,2011-10-15 14:35:18
100801,342,2.0,2004-12-12 02:58:52
14120,231,4.0,1996-10-16 12:27:19
126635,1271,4.5,2012-05-17 21:52:15
102310,589,5.0,2005-03-23 00:43:47
